家家戶戶,가가호호,집집마다,
苛斂誅求,가렴주구,강제로 재물을빼앗음,
刻骨難忘,각골난망,은덕을 입은 고마운 마음이 마음깊이 새겨져 잊혀지지 아니함, 
刻舟求劍,각주구검,어리석고 융통성이 없음,
甘言利說,감언이설,남의 비위에 맞게 달콤한말로 꾀는말,
甘呑苦吐,감탄고토,신의를 지키지않고 자기 마음에 맞으면 갖고 싫으면 버림,
甲男乙女,갑남을녀,보통사람들,
康衢煙月,강구연월,태평한 시대의 평화로운 풍경,
改善匡正,개선광정,좋도록 고치고 바로잡음,
乾坤一擲,건곤일척,흥망 성패을 걸고 단판싸움을 함,
鷄卵有骨,계란유골,달걀에도 뼈가 있다. 운수가 나쁜 사람은 모처럼 좋은 기회를 만나도 역시 일이 잘 안된다,
孤掌難鳴,고장난명,손바닥 하나로는 박수를 칠 수 없다. 혼자 힘으론 일을 해내기가 어렵다,
苦盡甘來,고진감래,고생 끝에 낙이 온다,
高枕短命,고침단명,베개를 높이 베면 오래 살지 못한다,
骨肉相殘,골육상잔,같은 피를 나눈 사람끼리 서로 싸우는 일,
功過相半,공과상반,공로와 과실이 반반,
公明正大,공명정대,일이나 하는 짓이 옳고 바르다,
空中樓閣,공중누각,공중에 뜬 집처럼 터무니 없는 말,
過恭非禮,과공비례,지나치게 공손하면 오히려 예의에 벗어난다,
過猶不及,과유불급,정도가 지나치면 뜻하는 바에 이르지 못한다,어어,ㅇㅇ,ㅇㅇ,
